"internal_taxon_name","GL_estimate","Source"
"Pseudocordylus spinosus",5.8,"Mancini et al. (2025, Ecography)"
"Ramphotyphlops exocoeti",4.3,"Mancini et al. (2025, Ecography)"
"Sanzinia madagascariensis",11,"Mancini et al. (2025, Ecography)"
"Scelotes kasneri",4.4,"Mancini et al. (2025, Ecography)"
"Scelotes gronovii",3,"Mancini et al. (2025, Ecography)"
"Sphaerodactylus micropithecus",2.2,"Mancini et al. (2025, Ecography)"
"Tetradactylus breyeri",3.5,"Mancini et al. (2025, Ecography)"
"Thamnophis gigas",9.2,"Mancini et al. (2025, Ecography)"
"Thamnophis hammondii",7.3,"Mancini et al. (2025, Ecography)"
"Thermophis baileyi",12.1,"Mancini et al. (2025, Ecography)"
"Tribolonotus ponceleti",4.8,"Mancini et al. (2025, Ecography)"
"Protobothrops cornutus",7.5,"Mancini et al. (2025, Ecography)"
"Antillotyphlops monensis",2.8,"Mancini et al. (2025, Ecography)"
"Typhlosaurus lomiae",3.3,"Mancini et al. (2025, Ecography)"
"Montivipera albizona",11.9,"Mancini et al. (2025, Ecography)"
"Montivipera bulgardaghica",10.7,"Mancini et al. (2025, Ecography)"
"Vipera kaznakovi",11,"Mancini et al. (2025, Ecography)"
"Montivipera latifii",11.3,"Mancini et al. (2025, Ecography)"
"Montivipera raddei",13.5,"Mancini et al. (2025, Ecography)"
"Vipera ursinii",11,"Mancini et al. (2025, Ecography)"
"Montivipera wagneri",13.6,"Mancini et al. (2025, Ecography)"
"Vipera darevskii",9.5,"Mancini et al. (2025, Ecography)"
"Ptychoglossus danieli",2.5,"Mancini et al. (2025, Ecography)"
"Ptychoglossus gorgonae",2.7,"Mancini et al. (2025, Ecography)"
"Ptychoglossus myersi",2,"Mancini et al. (2025, Ecography)"
"Ptychoglossus romaleos",2.3,"Mancini et al. (2025, Ecography)"
"Ptychoglossus vallensis",2.3,"Mancini et al. (2025, Ecography)"
"Tantilla vulcani",2.3,"Mancini et al. (2025, Ecography)"
"Diploderma luei",4.7,"Mancini et al. (2025, Ecography)"
"Liolaemus etheridgei",4.4,"Mancini et al. (2025, Ecography)"
"Liolaemus melanogaster",6,"Mancini et al. (2025, Ecography)"
"Liolaemus thomasi",5.4,"Mancini et al. (2025, Ecography)"
"Brachyurophis morrisi",2.8,"Mancini et al. (2025, Ecography)"
"Liolaemus ramirezae",4.3,"Mancini et al. (2025, Ecography)"
"Liolaemus pagaburoi",4.2,"Mancini et al. (2025, Ecography)"
"Ctenotus rimacolus",4.3,"Mancini et al. (2025, Ecography)"
"Emoia kitcheneri",2.1,"Mancini et al. (2025, Ecography)"
"Gymnophthalmus vanzoi",1.7,"Mancini et al. (2025, Ecography)"
"Geophis damiani",3.9,"Mancini et al. (2025, Ecography)"
"Anolis wermuthi",2.1,"Mancini et al. (2025, Ecography)"
"Potamites juruazensis",2.2,"Mancini et al. (2025, Ecography)"
"Chapinophis xanthocheilus",4.4,"Mancini et al. (2025, Ecography)"
"Iranolacerta zagrosica",4.7,"Mancini et al. (2025, Ecography)"
"Acanthodactylus nilsoni",3.2,"Mancini et al. (2025, Ecography)"
"Apostolepis quirogai",4.4,"Mancini et al. (2025, Ecography)"
"Erythrolamprus atraventer",5.1,"Mancini et al. (2025, Ecography)"
"Bothrops pirajai",8.3,"Mancini et al. (2025, Ecography)"
"Corallus cropanii",8.7,"Mancini et al. (2025, Ecography)"
"Calamodontophis paucidens",5.1,"Mancini et al. (2025, Ecography)"
"Calamodontophis ronaldoi",4.6,"Mancini et al. (2025, Ecography)"
"Anisolepis undulatus",4.9,"Mancini et al. (2025, Ecography)"
"Liolaemus occipitalis",3.9,"Mancini et al. (2025, Ecography)"
"Borikenophis sanctaecrucis",7.6,"Mancini et al. (2025, Ecography)"
"Liolaemus gravenhorstii",4.5,"Mancini et al. (2025, Ecography)"
"Nactus coindemirensis",2.3,"Mancini et al. (2025, Ecography)"
"Vhembelacerta rupicola",2.7,"Mancini et al. (2025, Ecography)"
"Australolacerta australis",4,"Mancini et al. (2025, Ecography)"
"Cryptactites peringueyi",1.9,"Mancini et al. (2025, Ecography)"
"Acontias rieppeli",4.6,"Mancini et al. (2025, Ecography)"
"Ctenosaura bakeri",7.6,"Mancini et al. (2025, Ecography)"
"Ctenosaura flavidorsalis",6.1,"Mancini et al. (2025, Ecography)"
"Ctenosaura oaxacana",5.9,"Mancini et al. (2025, Ecography)"
"Ctenosaura clarki",6.7,"Mancini et al. (2025, Ecography)"
"Bothrops alcatraz",6.3,"Mancini et al. (2025, Ecography)"
"Lamprophis geometricus",4.9,"Mancini et al. (2025, Ecography)"
"Lycognathophis seychellensis",7.1,"Mancini et al. (2025, Ecography)"
"Ailuronyx seychellensis",4.6,"Mancini et al. (2025, Ecography)"
"Ailuronyx tachyscopaeus",3.8,"Mancini et al. (2025, Ecography)"
"Ailuronyx trachygaster",5.8,"Mancini et al. (2025, Ecography)"
"Phelsuma astriata",3,"Mancini et al. (2025, Ecography)"
"Urocotyledon inexpectata",2.3,"Mancini et al. (2025, Ecography)"
"Zonosaurus madagascariensis",6.4,"Mancini et al. (2025, Ecography)"
"Janetaescincus braueri",2.2,"Mancini et al. (2025, Ecography)"
"Janetaescincus veseyfitzgeraldi",1.8,"Mancini et al. (2025, Ecography)"
"Pamelaescincus gardineri",3.8,"Mancini et al. (2025, Ecography)"
"Trachylepis sechellensis",4,"Mancini et al. (2025, Ecography)"
"Trachylepis wrightii",5.9,"Mancini et al. (2025, Ecography)"
"Hierophis cypriensis",19.1,"Mancini et al. (2025, Ecography)"
"Montivipera bornmuelleri",11.3,"Mancini et al. (2025, Ecography)"
"Iberolacerta bonnali",5.6,"Mancini et al. (2025, Ecography)"
"Hierophis viridiflavus",12.4,"Mancini et al. (2025, Ecography)"
"Ablepharus budaki",3.5,"Mancini et al. (2025, Ecography)"
"Ablepharus rueppellii",3.1,"Mancini et al. (2025, Ecography)"
"Acanthodactylus ahmaddisii",4.1,"Mancini et al. (2025, Ecography)"
"Acanthodactylus bedriagai",4.2,"Mancini et al. (2025, Ecography)"
"Acanthodactylus blanci",4.7,"Mancini et al. (2025, Ecography)"
"Acanthodactylus maculatus",3.3,"Mancini et al. (2025, Ecography)"
"Acanthodactylus savignyi",4,"Mancini et al. (2025, Ecography)"
"Acanthodactylus schreiberi",5.2,"Mancini et al. (2025, Ecography)"
"Acanthodactylus spinicauda",3.3,"Mancini et al. (2025, Ecography)"
"Algyroides fitzingeri",3.6,"Mancini et al. (2025, Ecography)"
"Algyroides nigropunctatus",3.9,"Mancini et al. (2025, Ecography)"
"Archaeolacerta bedriagae",6.1,"Mancini et al. (2025, Ecography)"
"Blanus cinereus",3.9,"Mancini et al. (2025, Ecography)"
"Blanus mettetali",3.9,"Mancini et al. (2025, Ecography)"
"Blanus tingitanus",4.3,"Mancini et al. (2025, Ecography)"
"Chalcides bedriagai",6.1,"Mancini et al. (2025, Ecography)"
"Chalcides colosii",6.4,"Mancini et al. (2025, Ecography)"
"Chalcides ebneri",5,"Mancini et al. (2025, Ecography)"
"Chalcides manueli",4.2,"Mancini et al. (2025, Ecography)"
"Chalcides mauritanicus",3.4,"Mancini et al. (2025, Ecography)"
"Chalcides mertensi",6.1,"Mancini et al. (2025, Ecography)"
"Chalcides minutus",4.9,"Mancini et al. (2025, Ecography)"
"Chalcides mionecton",4.1,"Mancini et al. (2025, Ecography)"
"Chalcides parallelus",5,"Mancini et al. (2025, Ecography)"
"Chalcides pseudostriatus",6.1,"Mancini et al. (2025, Ecography)"
"Chalcides sexlineatus",6.1,"Mancini et al. (2025, Ecography)"
"Chalcides viridanus",7.2,"Mancini et al. (2025, Ecography)"
"Mediodactylus amictopholis",3.3,"Mancini et al. (2025, Ecography)"
"Daboia mauritanica",14.4,"Mancini et al. (2025, Ecography)"
"Eirenis barani",5.8,"Mancini et al. (2025, Ecography)"
"Eirenis levantinus",5.5,"Mancini et al. (2025, Ecography)"
"Eirenis lineomaculatus",4.3,"Mancini et al. (2025, Ecography)"
"Eumeces algeriensis",7.7,"Mancini et al. (2025, Ecography)"
"Gallotia intermedia",6.5,"Mancini et al. (2025, Ecography)"
"Hemidactylus foudaii",2.7,"Mancini et al. (2025, Ecography)"
"Hemidactylus mindiae",3.8,"Mancini et al. (2025, Ecography)"
"Hemorrhois hippocrepis",11.5,"Mancini et al. (2025, Ecography)"
"Hierophis gemonensis",10.2,"Mancini et al. (2025, Ecography)"
"Iberolacerta aranica",5.5,"Mancini et al. (2025, Ecography)"
"Iberolacerta cyreni",5.8,"Mancini et al. (2025, Ecography)"
"Iberolacerta horvathi",5.1,"Mancini et al. (2025, Ecography)"
"Phoenicolacerta cyanisparsa",3.6,"Mancini et al. (2025, Ecography)"
"Hellenolacerta graeca",4.7,"Mancini et al. (2025, Ecography)"
"Phoenicolacerta kulzeri",5,"Mancini et al. (2025, Ecography)"
"Dalmatolacerta oxycephala",4.4,"Mancini et al. (2025, Ecography)"
"Macroprotodon abubakeri",5.3,"Mancini et al. (2025, Ecography)"
"Macroprotodon brevis",5.8,"Mancini et al. (2025, Ecography)"
"Macroprotodon cucullatus",5.8,"Mancini et al. (2025, Ecography)"
"Mesalina bahaeldini",3.1,"Mancini et al. (2025, Ecography)"
"Montivipera xanthina",12.9,"Mancini et al. (2025, Ecography)"
"Ophiomorus latastii",3.4,"Mancini et al. (2025, Ecography)"
"Ophiomorus punctatissimus",3.8,"Mancini et al. (2025, Ecography)"
"Ophisops occidentalis",2.9,"Mancini et al. (2025, Ecography)"
"Philochortus zolii",3.5,"Mancini et al. (2025, Ecography)"
"Platyceps collaris",8.7,"Mancini et al. (2025, Ecography)"
"Podarcis peloponnesiacus",4.7,"Mancini et al. (2025, Ecography)"
"Podarcis vaucheri",3.6,"Mancini et al. (2025, Ecography)"
"Podarcis waglerianus",5,"Mancini et al. (2025, Ecography)"
"Psammodromus blanci",3,"Mancini et al. (2025, Ecography)"
"Psammodromus microdactylus",3.6,"Mancini et al. (2025, Ecography)"
"Ptyodactylus oudrii",3.9,"Mancini et al. (2025, Ecography)"
"Quedenfeldtia moerens",3.1,"Mancini et al. (2025, Ecography)"
"Quedenfeldtia trachyblepharus",4,"Mancini et al. (2025, Ecography)"
"Letheobia simoni",3.9,"Mancini et al. (2025, Ecography)"
"Saurodactylus fasciatus",2.8,"Mancini et al. (2025, Ecography)"
"Spalerosophis dolichospilus",9,"Mancini et al. (2025, Ecography)"
"Chalcides sepsoides",4.2,"Mancini et al. (2025, Ecography)"
"Tarentola angustimentalis",4.9,"Mancini et al. (2025, Ecography)"
"Tarentola boehmei",4.7,"Mancini et al. (2025, Ecography)"
"Tarentola boettgeri",4.3,"Mancini et al. (2025, Ecography)"
"Tarentola deserti",5.2,"Mancini et al. (2025, Ecography)"
"Tarentola gomerensis",4.9,"Mancini et al. (2025, Ecography)"
"Tarentola mindiae",4.5,"Mancini et al. (2025, Ecography)"
"Tarentola neglecta",4,"Mancini et al. (2025, Ecography)"
"Scelarcis perspicillata",3.3,"Mancini et al. (2025, Ecography)"
"Telescopus hoogstraali",8,"Mancini et al. (2025, Ecography)"
"Trapelus savignii",4.5,"Mancini et al. (2025, Ecography)"
"Trapelus tournevillei",4.2,"Mancini et al. (2025, Ecography)"
"Uromastyx alfredschmidti",7.3,"Mancini et al. (2025, Ecography)"
"Vipera latastei",9.4,"Mancini et al. (2025, Ecography)"
"Vipera monticola",7.5,"Mancini et al. (2025, Ecography)"
"Vipera seoanei",10.8,"Mancini et al. (2025, Ecography)"
"Zamenis lineatus",10.6,"Mancini et al. (2025, Ecography)"
"Chilabothrus striatus",10.2,"Mancini et al. (2025, Ecography)"
"Morelia spilota",11.8,"Mancini et al. (2025, Ecography)"
"Dipsas albifrons",5.7,"Mancini et al. (2025, Ecography)"
"Aprasia rostrata",3.7,"Mancini et al. (2025, Ecography)"
"Liopholis pulchra",5.8,"Mancini et al. (2025, Ecography)"
"Crotalus willardi",7.9,"Mancini et al. (2025, Ecography)"
"Phelsuma antanosy",3.2,"Mancini et al. (2025, Ecography)"
"Anniella geronimensis",3.4,"Mancini et al. (2025, Ecography)"
"Adelophis copei",2.7,"Mancini et al. (2025, Ecography)"
"Adelophis foxi",4,"Mancini et al. (2025, Ecography)"
"Adelphicos latifasciatum",4.1,"Mancini et al. (2025, Ecography)"
"Adelphicos nigrilatum",4.9,"Mancini et al. (2025, Ecography)"
"Adelphicos quadrivirgatum",3.9,"Mancini et al. (2025, Ecography)"
"Carphophis vermis",5.3,"Mancini et al. (2025, Ecography)"
"Chersodromus liebmanni",3.5,"Mancini et al. (2025, Ecography)"
"Chersodromus rubriventris",4.5,"Mancini et al. (2025, Ecography)"
"Chilomeniscus savagei",4.3,"Mancini et al. (2025, Ecography)"
"Chilomeniscus stramineus",3.4,"Mancini et al. (2025, Ecography)"
"Chionactis occipitalis",4.4,"Mancini et al. (2025, Ecography)"
"Chionactis palarostris",4.3,"Mancini et al. (2025, Ecography)"
"Coniophanes alvarezi",5.6,"Mancini et al. (2025, Ecography)"
"Coniophanes imperialis",4.6,"Mancini et al. (2025, Ecography)"
"Coniophanes melanocephalus",4.8,"Mancini et al. (2025, Ecography)"
"Coniophanes meridanus",3.6,"Mancini et al. (2025, Ecography)"
"Coniophanes quinquevittatus",4.3,"Mancini et al. (2025, Ecography)"
"Coniophanes schmidti",3.7,"Mancini et al. (2025, Ecography)"
"Conophis lineatus",6.4,"Mancini et al. (2025, Ecography)"
"Conophis morai",5.4,"Mancini et al. (2025, Ecography)"
"Conophis vittatus",5.6,"Mancini et al. (2025, Ecography)"
"Conopsis amphisticha",3.7,"Mancini et al. (2025, Ecography)"
"Conopsis biserialis",3.8,"Mancini et al. (2025, Ecography)"
"Conopsis lineata",3.4,"Mancini et al. (2025, Ecography)"
"Conopsis megalodon",3.2,"Mancini et al. (2025, Ecography)"
"Conopsis nasus",4.2,"Mancini et al. (2025, Ecography)"
"Cryophis hallbergi",6.6,"Mancini et al. (2025, Ecography)"
"Dendrophidion vinitor",5.5,"Mancini et al. (2025, Ecography)"
"Diadophis punctatus",8.7,"Mancini et al. (2025, Ecography)"
"Dipsas brevifacies",4.6,"Mancini et al. (2025, Ecography)"
"Dipsas gaigeae",4.6,"Mancini et al. (2025, Ecography)"
"Dipsas maxillaris",3.8,"Mancini et al. (2025, Ecography)"
"Drymarchon couperi",9.8,"Mancini et al. (2025, Ecography)"
"Drymarchon melanurus",9,"Mancini et al. (2025, Ecography)"
"Drymobius chloroticus",6.1,"Mancini et al. (2025, Ecography)"
"Enulius oligostichus",3.3,"Mancini et al. (2025, Ecography)"
"Hypsiglena slevini",5.6,"Mancini et al. (2025, Ecography)"
"Farancia erytrogramma",10.7,"Mancini et al. (2025, Ecography)"
"Ficimia hardyi",3.9,"Mancini et al. (2025, Ecography)"
"Ficimia ramirezi",2.8,"Mancini et al. (2025, Ecography)"
"Ficimia ruspator",1.8,"Mancini et al. (2025, Ecography)"
"Ficimia streckeri",4.3,"Mancini et al. (2025, Ecography)"
"Ficimia variegata",3.6,"Mancini et al. (2025, Ecography)"
"Geagras redimitus",2.4,"Mancini et al. (2025, Ecography)"
"Geophis anocularis",4.8,"Mancini et al. (2025, Ecography)"
"Geophis bicolor",4.4,"Mancini et al. (2025, Ecography)"
"Geophis blanchardi",5.1,"Mancini et al. (2025, Ecography)"
"Geophis cancellatus",4,"Mancini et al. (2025, Ecography)"
"Geophis carinosus",3.3,"Mancini et al. (2025, Ecography)"
"Geophis chalybeus",4.4,"Mancini et al. (2025, Ecography)"
"Geophis dubius",3.9,"Mancini et al. (2025, Ecography)"
"Geophis duellmani",4.2,"Mancini et al. (2025, Ecography)"
"Geophis dugesii",5.1,"Mancini et al. (2025, Ecography)"
"Geophis immaculatus",3.6,"Mancini et al. (2025, Ecography)"
"Geophis incomptus",4.5,"Mancini et al. (2025, Ecography)"
"Geophis isthmicus",2.3,"Mancini et al. (2025, Ecography)"
"Geophis juarezi",4.8,"Mancini et al. (2025, Ecography)"
"Geophis juliai",3.6,"Mancini et al. (2025, Ecography)"
"Geophis laticinctus",4.1,"Mancini et al. (2025, Ecography)"
"Geophis laticollaris",2,"Mancini et al. (2025, Ecography)"
"Geophis latifrontalis",4.9,"Mancini et al. (2025, Ecography)"
"Geophis maculiferus",2.2,"Mancini et al. (2025, Ecography)"
"Geophis mutitorques",5.1,"Mancini et al. (2025, Ecography)"
"Geophis nasalis",3.5,"Mancini et al. (2025, Ecography)"
"Geophis nigrocinctus",4.3,"Mancini et al. (2025, Ecography)"
"Geophis omiltemanus",3.4,"Mancini et al. (2025, Ecography)"
"Geophis petersii",3.2,"Mancini et al. (2025, Ecography)"
"Geophis pyburni",3.7,"Mancini et al. (2025, Ecography)"
"Geophis rhodogaster",3.7,"Mancini et al. (2025, Ecography)"
"Geophis sallaei",3.9,"Mancini et al. (2025, Ecography)"
"Geophis semidoliatus",4,"Mancini et al. (2025, Ecography)"
"Geophis sieboldi",3.8,"Mancini et al. (2025, Ecography)"
"Geophis tarascae",4.7,"Mancini et al. (2025, Ecography)"
"Gyalopion canum",4.3,"Mancini et al. (2025, Ecography)"
"Gyalopion quadrangulare",3.8,"Mancini et al. (2025, Ecography)"
"Heterodon simus",6.3,"Mancini et al. (2025, Ecography)"
"Hypsiglena tanzeri",4.6,"Mancini et al. (2025, Ecography)"
"Hypsiglena torquata",7,"Mancini et al. (2025, Ecography)"
"Imantodes tenuissimus",4.9,"Mancini et al. (2025, Ecography)"
"Lampropeltis alterna",8.3,"Mancini et al. (2025, Ecography)"
"Lampropeltis mexicana",5.3,"Mancini et al. (2025, Ecography)"
"Lampropeltis webbi",4.3,"Mancini et al. (2025, Ecography)"
"Leptodeira frenata",5.1,"Mancini et al. (2025, Ecography)"
"Leptodeira maculata",5.5,"Mancini et al. (2025, Ecography)"
"Leptodeira nigrofasciata",4.3,"Mancini et al. (2025, Ecography)"
"Leptodeira punctata",5.3,"Mancini et al. (2025, Ecography)"
"Leptodeira splendida",6.6,"Mancini et al. (2025, Ecography)"
"Leptophis diplotropis",6.8,"Mancini et al. (2025, Ecography)"
"Leptophis modestus",7.4,"Mancini et al. (2025, Ecography)"
"Manolepis putnami",5.1,"Mancini et al. (2025, Ecography)"
"Mastigodryas melanolomus",7.4,"Mancini et al. (2025, Ecography)"
"Nerodia cyclopion",7.8,"Mancini et al. (2025, Ecography)"
"Nerodia floridana",8.9,"Mancini et al. (2025, Ecography)"
"Nerodia rhombifer",9,"Mancini et al. (2025, Ecography)"
"Nerodia taxispilota",9.2,"Mancini et al. (2025, Ecography)"
"Ninia diademata",4,"Mancini et al. (2025, Ecography)"
"Phyllorhynchus browni",4.7,"Mancini et al. (2025, Ecography)"
"Phyllorhynchus decurtatus",4.8,"Mancini et al. (2025, Ecography)"
"Pituophis deppei",8.9,"Mancini et al. (2025, Ecography)"
"Pituophis lineaticollis",8.4,"Mancini et al. (2025, Ecography)"
"Pituophis ruthveni",9,"Mancini et al. (2025, Ecography)"
"Pituophis vertebralis",9.3,"Mancini et al. (2025, Ecography)"
"Pliocercus elapoides",4.6,"Mancini et al. (2025, Ecography)"
"Pseudelaphe flavirufa",6.8,"Mancini et al. (2025, Ecography)"
"Pseudoficimia frontalis",4.1,"Mancini et al. (2025, Ecography)"
"Pseudoleptodeira latifasciata",5.1,"Mancini et al. (2025, Ecography)"
"Leptodeira uribei",5,"Mancini et al. (2025, Ecography)"
"Regina grahamii",7.8,"Mancini et al. (2025, Ecography)"
"Rhadinaea bogertorum",5.2,"Mancini et al. (2025, Ecography)"
"Rhadinaea cuneata",4.7,"Mancini et al. (2025, Ecography)"
"Rhadinaea flavilata",4.8,"Mancini et al. (2025, Ecography)"
"Rhadinaea forbesi",5.7,"Mancini et al. (2025, Ecography)"
"Rhadinaea fulvivittis",5.4,"Mancini et al. (2025, Ecography)"
"Rhadinella hannsteini",4,"Mancini et al. (2025, Ecography)"
"Rhadinaea hesperia",5.4,"Mancini et al. (2025, Ecography)"
"Rhadinella kanalchutchan",5.1,"Mancini et al. (2025, Ecography)"
"Rhadinella kinkelini",3.7,"Mancini et al. (2025, Ecography)"
"Rhadinella lachrymans",4.6,"Mancini et al. (2025, Ecography)"
"Rhadinaea laureata",5.9,"Mancini et al. (2025, Ecography)"
"Rhadinaea macdougalli",3.4,"Mancini et al. (2025, Ecography)"
"Rhadinaea marcellae",3.5,"Mancini et al. (2025, Ecography)"
"Rhadinaea montana",6.5,"Mancini et al. (2025, Ecography)"
"Rhadinaea myersi",4.3,"Mancini et al. (2025, Ecography)"
"Rhadinaea omiltemana",4.9,"Mancini et al. (2025, Ecography)"
"Rhadinaea quinquelineata",5.1,"Mancini et al. (2025, Ecography)"
"Rhadinella schistosa",3.3,"Mancini et al. (2025, Ecography)"
"Rhadinaea taeniata",6.6,"Mancini et al. (2025, Ecography)"
"Rhadinophanes monticola",5.4,"Mancini et al. (2025, Ecography)"
"Rhinocheilus lecontei",8.8,"Mancini et al. (2025, Ecography)"
"Salvadora bairdi",7,"Mancini et al. (2025, Ecography)"
"Salvadora grahamiae",7.7,"Mancini et al. (2025, Ecography)"
"Salvadora hexalepis",7.8,"Mancini et al. (2025, Ecography)"
"Salvadora intermedia",7,"Mancini et al. (2025, Ecography)"
"Salvadora lemniscata",5.9,"Mancini et al. (2025, Ecography)"
"Salvadora mexicana",6.2,"Mancini et al. (2025, Ecography)"
"Sibon dimidiatus",5,"Mancini et al. (2025, Ecography)"
"Sibon linearis",3.4,"Mancini et al. (2025, Ecography)"
"Sibon sanniolus",3.9,"Mancini et al. (2025, Ecography)"
"Sonora aemula",4.3,"Mancini et al. (2025, Ecography)"
"Sonora michoacanensis",3.4,"Mancini et al. (2025, Ecography)"
"Sonora mutabilis",3,"Mancini et al. (2025, Ecography)"
"Sonora semiannulata",4.8,"Mancini et al. (2025, Ecography)"
"Stenorrhina freminvillei",4.4,"Mancini et al. (2025, Ecography)"
"Lampropeltis extenuata",5.2,"Mancini et al. (2025, Ecography)"
"Storeria storerioides",2.9,"Mancini et al. (2025, Ecography)"
"Symphimus leucostomus",4.7,"Mancini et al. (2025, Ecography)"
"Symphimus mayae",5.1,"Mancini et al. (2025, Ecography)"
"Tantalophis discolor",5.8,"Mancini et al. (2025, Ecography)"
"Tantilla atriceps",3,"Mancini et al. (2025, Ecography)"
"Tantilla bocourti",4.1,"Mancini et al. (2025, Ecography)"
"Tantilla briggsi",2.9,"Mancini et al. (2025, Ecography)"
"Tantilla calamarina",2.3,"Mancini et al. (2025, Ecography)"
"Tantilla cascadae",2.6,"Mancini et al. (2025, Ecography)"
"Tantilla coronadoi",2.5,"Mancini et al. (2025, Ecography)"
"Tantilla coronata",4.1,"Mancini et al. (2025, Ecography)"
"Tantilla cucullata",5.6,"Mancini et al. (2025, Ecography)"
"Tantilla cuniculator",2.3,"Mancini et al. (2025, Ecography)"
"Tantilla deppei",3.4,"Mancini et al. (2025, Ecography)"
"Tantilla flavilineata",3.3,"Mancini et al. (2025, Ecography)"
"Tantilla gracilis",3.2,"Mancini et al. (2025, Ecography)"
"Tantilla hobartsmithi",4.3,"Mancini et al. (2025, Ecography)"
"Tantilla impensa",4.8,"Mancini et al. (2025, Ecography)"
"Tantilla jani",2.4,"Mancini et al. (2025, Ecography)"
"Tantilla johnsoni",3.6,"Mancini et al. (2025, Ecography)"
"Tantilla moesta",4.1,"Mancini et al. (2025, Ecography)"
"Tantilla nigriceps",4.4,"Mancini et al. (2025, Ecography)"
"Tantilla oaxacae",3.2,"Mancini et al. (2025, Ecography)"
"Tantilla oolitica",2.9,"Mancini et al. (2025, Ecography)"
"Tantilla planiceps",4.3,"Mancini et al. (2025, Ecography)"
"Tantilla relicta",2.9,"Mancini et al. (2025, Ecography)"
"Tantilla robusta",4,"Mancini et al. (2025, Ecography)"
"Tantilla rubra",4.8,"Mancini et al. (2025, Ecography)"
"Tantilla shawi",4.9,"Mancini et al. (2025, Ecography)"
"Tantilla slavensi",3.1,"Mancini et al. (2025, Ecography)"
"Tantilla striata",2.6,"Mancini et al. (2025, Ecography)"
"Tantilla tayrae",2.9,"Mancini et al. (2025, Ecography)"
"Tantilla triseriata",2.2,"Mancini et al. (2025, Ecography)"
"Tantilla wilcoxi",4.3,"Mancini et al. (2025, Ecography)"
"Tantilla yaquia",3.7,"Mancini et al. (2025, Ecography)"
"Tantillita brevissima",1.7,"Mancini et al. (2025, Ecography)"
"Tantillita canula",2,"Mancini et al. (2025, Ecography)"
"Tantillita lintoni",2.2,"Mancini et al. (2025, Ecography)"
"Thamnophis atratus",8.8,"Mancini et al. (2025, Ecography)"
"Thamnophis brachystoma",6.2,"Mancini et al. (2025, Ecography)"
"Thamnophis chrysocephalus",3.5,"Mancini et al. (2025, Ecography)"
"Thamnophis cyrtopsis",6.9,"Mancini et al. (2025, Ecography)"
"Thamnophis eques",10.1,"Mancini et al. (2025, Ecography)"
"Thamnophis exsul",3.7,"Mancini et al. (2025, Ecography)"
"Thamnophis fulvus",4.3,"Mancini et al. (2025, Ecography)"
"Thamnophis godmani",5.8,"Mancini et al. (2025, Ecography)"
"Thamnophis melanogaster",6,"Mancini et al. (2025, Ecography)"
"Thamnophis mendax",6.4,"Mancini et al. (2025, Ecography)"
"Thamnophis nigronuchalis",6.5,"Mancini et al. (2025, Ecography)"
"Thamnophis postremus",4.4,"Mancini et al. (2025, Ecography)"
"Thamnophis pulchrilatus",5.6,"Mancini et al. (2025, Ecography)"
"Thamnophis radix",8.3,"Mancini et al. (2025, Ecography)"
"Thamnophis rossmani",4.9,"Mancini et al. (2025, Ecography)"
"Thamnophis rufipunctatus",8.2,"Mancini et al. (2025, Ecography)"
"Thamnophis scalaris",6.7,"Mancini et al. (2025, Ecography)"
"Thamnophis scaliger",5.5,"Mancini et al. (2025, Ecography)"
"Thamnophis sumichrasti",6.5,"Mancini et al. (2025, Ecography)"
"Thamnophis valida",6.1,"Mancini et al. (2025, Ecography)"
"Trimorphodon tau",5.2,"Mancini et al. (2025, Ecography)"
"Trimorphodon vilkinsonii",7.4,"Mancini et al. (2025, Ecography)"
"Tropidodipsas philippii",4.8,"Mancini et al. (2025, Ecography)"
"Tropidodipsas repleta",5.7,"Mancini et al. (2025, Ecography)"
"Crotaphytus antiquus",5.4,"Mancini et al. (2025, Ecography)"
"Crotaphytus bicinctores",6.6,"Mancini et al. (2025, Ecography)"
"Crotaphytus grismeri",5.2,"Mancini et al. (2025, Ecography)"
"Crotaphytus nebrius",5.6,"Mancini et al. (2025, Ecography)"
"Crotaphytus reticulatus",5.7,"Mancini et al. (2025, Ecography)"
"Crotaphytus vestigium",6.1,"Mancini et al. (2025, Ecography)"
"Gambelia copeii",6.1,"Mancini et al. (2025, Ecography)"
"Anelytropsis papillosus",5.1,"Mancini et al. (2025, Ecography)"
"Micruroides euryxanthus",4.9,"Mancini et al. (2025, Ecography)"
"Micrurus bogerti",4.2,"Mancini et al. (2025, Ecography)"
"Micrurus browni",5.1,"Mancini et al. (2025, Ecography)"
"Micrurus diastema",4.7,"Mancini et al. (2025, Ecography)"
"Micrurus distans",5.6,"Mancini et al. (2025, Ecography)"
"Micrurus elegans",4.6,"Mancini et al. (2025, Ecography)"
"Micrurus ephippifer",5.1,"Mancini et al. (2025, Ecography)"
"Micrurus laticollaris",4.6,"Mancini et al. (2025, Ecography)"
"Micrurus latifasciatus",4.9,"Mancini et al. (2025, Ecography)"
"Micrurus limbatus",4.5,"Mancini et al. (2025, Ecography)"
"Micrurus nebularis",4.9,"Mancini et al. (2025, Ecography)"
"Micrurus pachecogili",5,"Mancini et al. (2025, Ecography)"
"Micrurus proximans",4,"Mancini et al. (2025, Ecography)"
"Coleonyx fasciatus",3.7,"Mancini et al. (2025, Ecography)"
